Pair,Trade Type,Entry Date,Entry Price Asset 1,Entry Price Asset 2,Shares Asset 1,Shares Asset 2,Exit Date,Exit Price Asset 1,Exit Price Asset 2,Exit Reason,Trade P&L
HD-NOW,Long,2024-07-02,327.0823974609375,794.1099853515625,0.30573335886087455,-0.04703075223984573,2024-07-09,329.1524658203125,744.010009765625,Profit Target,2.989128491587885
HD-NOW,Short,2024-07-17,363.13299560546875,736.0700073242188,-0.27538119975373015,0.050739181872148015,2024-07-23,351.1518859863281,765.52001953125,Profit Target,4.793641866809439
HD-NOW,Short,2024-10-01,401.8439636230469,867.1799926757812,-0.24885281117176578,0.04306786398175155,2024-10-04,401.1661071777344,917.6799926757812,Profit Target,2.343613613065369
HD-NOW,Long,2024-11-06,381.52825927734375,994.47998046875,0.26210378279556784,-0.0375548937190802,2024-11-27,421.8743591308594,1041.4000244140625,Profit Target,8.812788128993366
HD-NOW,Long,2024-12-11,416.13665771484375,1147.1800537109375,0.24030567398011993,-0.03255599663840352,2025-01-10,385.03851318359375,1024.5699462890625,Profit Target,-3.481366336052355
HD-NOW,Short,2025-03-10,369.9881286621094,783.8300170898438,-0.2702789420882331,0.047647562810772044,2025-04-09,353.195068359375,825.9500122070312,Profit Target,6.545725685982553
COST-BRK-B,Long,2023-04-14,473.68133544921875,319.739990234375,0.21111239248040956,-0.703319266703724,2023-05-26,490.08905029296875,320.6000061035156,Profit Target,2.8590062053628413
COST-BRK-B,Long,2023-08-07,539.5076293945312,362.5799865722656,0.18535419065755598,-0.6202198240268176,2023-09-22,540.7012939453125,360.1600036621094,Profit Target,1.722172101411689
COST-BRK-B,Short,2023-10-03,546.9446411132812,343.0400085449219,-0.18283386010776975,0.6555483030138977,2023-11-02,539.15283203125,349.0199890136719,Profit Target,5.344772580035866
COST-BRK-B,Short,2023-12-13,622.58056640625,362.0299987792969,-0.1606217819763224,0.6211620479677125,2024-01-25,674.32763671875,380.8500061035156,Profit Target,3.378567646631266
COST-BRK-B,Short,2024-03-07,780.2968139648438,402.3900146484375,-0.12815636077235795,0.558859035465804,2024-03-08,720.6712646484375,403.1499938964844,Profit Target,8.066114678980885
COST-BRK-B,Long,2024-04-01,716.3804321289062,420.20001220703125,0.13959063580620792,-0.5351720345898019,2024-04-11,727.41552734375,407.6099853515625,Profit Target,8.278226245003538
COST-BRK-B,Short,2024-05-24,805.5651245117188,407.4100036621094,-0.12413645645423578,0.5519729349945048,2024-07-11,842.2354736328125,418.7799987792969,Profit Target,1.723802378874896
COST-BRK-B,Short,2024-12-03,979.7894287109375,470.19000244140625,-0.10206274641232378,0.4782732391157558,2024-12-30,919.9935302734375,452.1600036621094,Profit Target,-2.520332298703808
COST-BRK-B,Short,2025-02-05,1040.37353515625,473.7300109863281,-0.09611932312847746,0.4746992807132637,2025-02-24,1034.25244140625,498.4200134277344,Profit Target,12.308681787800225
COST-BRK-B,Long,2025-03-07,963.0552368164062,495.6199951171875,0.10383620396538447,-0.4537332990657986,2025-04-17,993.2059326171875,518.2100219726562,Profit Target,-7.119113612248642
UPS-AAPL,Long,2023-04-25,158.26434326171875,161.9225616455078,0.6318542631844236,-0.4513205944397764,2023-07-03,166.56466674804688,190.55213928222656,Profit Target,-7.6765232169174125
